step,population,nonrenewableResourceFractionRemaining,serviceOutput,foodPerCapita,industrialOutputPerCapita,indexOfPersistentPollution,lifeExpectancy,crudeBirthRate,crudeDeathRate,arableLand,landYield
1946.0,0.17074341123761969,0.9695488713669437,0.34097203529066783,0.22622613693107385,0.04579587803750916,0.012987570099985453,0.49330690120673004,0.7988593241707853,0.46851807068794904,0.3890491835068507,0.42227476734806724
1947.0,0.17360399600572166,0.9682355662076992,0.3424966509483785,0.23005842311791977,0.04723763823714293,0.013422138795512259,0.4951848374695498,0.7957649438230031,0.46621207247000784,0.3918624349141295,0.4281730590668182
1948.0,0.17650952759323,0.9668776381143857,0.3440661448735925,0.23394853126693027,0.04872749563193114,0.013872114274093744,0.4971214130127242,0.7929654683501305,0.46374453312626107,0.39476869989101404,0.4341145142963527
1949.0,0.17946314479301387,0.9654736371933936,0.3456798053432911,0.23789536386587948,0.05026641539367945,0.014338096060830011,0.4991172205901092,0.7902993603602859,0.46113793803143316,0.3977697372549879,0.4401031406987315
1950.0,0.18246726167068322,0.964022059888938,0.34733491711622916,0.24189860621171919,0.051855544271131135,0.014820698692730418,0.5011724171833855,0.7876772453082898,0.45839988890325684,0.4008675834382733,0.4461381734075202
1951.0,0.1855165454340015,0.9625213482955061,0.34904349665791246,0.24596800136971927,0.05349617974783394,0.015320532599136356,0.5032932280950151,0.7847634219148476,0.45602899489275417,0.40406446030692156,0.4522186503271518
1952.0,0.18860717352392337,0.9609698897428579,0.35080973841399066,0.2501115917938458,0.05518969249650082,0.015838193643765167,0.5054863710451034,0.7816565073095267,0.4539247426924345,0.4073626595513126,0.458337671386387
1953.0,0.19174098274770107,0.9593660131694685,0.35262918682836963,0.2543299283210311,0.05693754673894382,0.01637425901862866,0.5077547693242374,0.7785920259124324,0.4517125889898319,0.41076446876829364,0.4644909517811631
1954.0,0.19491960516764165,0.957707987175922,0.3545006084935058,0.2586235935647087,0.05874133662037821,0.01692928713706734,0.51010020321383,0.7755408182606012,0.4493937980871511,0.41427231530745007,0.4706775890349069
1955.0,0.1981445760802531,0.9559940196786033,0.356422091197063,0.2629932160103585,0.060602764874323256,0.017503819960205315,0.5125242606421456,0.7724871716926307,0.4469702207461422,0.41788883178592134,0.4768952115319958
1956.0,0.2014174083321562,0.9542222565824592,0.3583919164434358,0.26743935986213213,0.06252363185098384,0.01809838619210901,0.515028681377832,0.7694233960915712,0.4444433182518314,0.421616827831659,0.48314133664070447
1957.0,0.2047396357717155,0.9523907805289783,0.3608791892985899,0.27196248890728997,0.06450582637473205,0.01871350485718238,0.517805589908242,0.766345815115818,0.441813886841457,0.42532902815268836,0.4902026614352854
1958.0,0.20811573262799832,0.950497609497615,0.36331140709936394,0.2765790434888537,0.0665513193144932,0.01934968927706031,0.5206272807281478,0.7632899809546722,0.438845806201431,0.4290257761161545,0.49732178549959927
1959.0,0.2115474107064752,0.9485405541885971,0.3657237412683644,0.2812842254863359,0.06866306641467163,0.020007451160202673,0.5235130571187087,0.7602609661350569,0.43582512766115883,0.4327274299839828,0.5045257843663629
1960.0,0.21503626357140537,0.9465173859030739,0.36811605510703255,0.2860752738020547,0.07084376443244005,0.020687304598899538,0.5264644073340088,0.7572198773148446,0.43273015572222107,0.4364518463865991,0.5117961955004001
1961.0,0.2185837314710741,0.9444258229318028,0.3704964175515675,0.29094984879918945,0.07309597921903406,0.021389840767426834,0.529486696846055,0.7541473624686749,0.4295607268765231,0.4402142454010478,0.5191282703756519
1962.0,0.222191248425836,0.9422635282086728,0.37286725573494484,0.29590613737455473,0.07542218098169585,0.02211573387453655,0.53258320267611,0.7510332452515404,0.4263114589237506,0.44402819622256806,0.5265111468950381
1963.0,0.2258602660367132,0.9400281045699488,0.3752310433504665,0.3009425200595066,0.07782478989189862,0.022865724709310007,0.5357574150859732,0.7478720359933448,0.42297933350438804,0.44790591696110466,0.5339354059223274
1964.0,0.22959227732486892,0.9377170920101072,0.37758864429688715,0.3060575099743833,0.08030620157092361,0.02364059771955317,0.539012272700671,0.744659941145931,0.419560915025376,0.4518586378228911,0.5413903813407654
1965.0,0.23338881553194135,0.9353279650260556,0.3799403050837752,0.3112496591066595,0.08286880791158033,0.024441160224014935,0.5423505436425343,0.7413935493757813,0.4160533484394721,0.4558968090991074,0.5488653042111798
1966.0,0.23725144985576288,0.9328581305907524,0.3822854982245903,0.3165175213641594,0.08551501038333394,0.02526822610879796,0.5457747323282865,0.7380691436541963,0.4124539091702949,0.4600302798998437,0.5563488618652533
1967.0,0.2411817760210514,0.9303049264019069,0.3846231854276813,0.3218596199163333,0.08824722930878791,0.02612260445104483,0.5492871742921606,0.7346824509015427,0.40876013370743897,0.46426842158628107,0.5638294133397403
1968.0,0.245181406397628,0.9276656194600369,0.3869518554791209,0.3272744307133456,0.09106790940103249,0.02700509238974254,0.5528900401559317,0.7312285765942472,0.4049697109370246,0.46862022492585476,0.5712949183012885
1969.0,0.24925195955375082,0.9249374048832273,0.3892696380357485,0.3327603706489246,0.09397952277894586,0.02791647133959799,0.5565853757731973,0.7277020415778354,0.40108048454690776,0.47309436989530573,0.5787330127787437
1970.0,0.25339505028034637,0.9221174049520606,0.38930923537444406,0.3383157918559184,0.09698456992418203,0.02885750562207129,0.5594073368433097,0.7240968542712382,0.3970904094324894,0.47769927734822504,0.5827404609234861
1971.0,0.2575944925525611,0.9192026683510698,0.3894578132149856,0.3438545779769522,0.10008557914866599,0.029828942727512926,0.5625606248308703,0.720254094235201,0.39420346864911204,0.4823117692149088,0.586956692224541
